program_code,program_name,year_level,semester,status,source_hint,action_hint
"BEED","Bachelor of Elementary Education","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEED","Bachelor of Elementary Education","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEED","Bachelor of Elementary Education","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEED","Bachelor of Elementary Education","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEMIE","BS Educ major in English","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEMIE","BS Educ major in English","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEMIE","BS Educ major in English","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEMIE","BS Educ major in English","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEMIE","BS Educ major in English","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEMIE","BS Educ major in English","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEMIE","BS Educ major in English","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEMIE","BS Educ major in English","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BMIOM","BSBA Major in Operation Management","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BMIOM","BSBA Major in Operation Management","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BMIOM","BSBA Major in Operation Management","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BMIOM","BSBA Major in Operation Management","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BMIOM","BSBA Major in Operation Management","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BMIOM","BSBA Major in Operation Management","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BMIOM","BSBA Major in Operation Management","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BMIOM","BSBA Major in Operation Management","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSA","Bachelor of Science in Accountancy","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSA","Bachelor of Science in Accountancy","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSA","Bachelor of Science in Accountancy","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSA","Bachelor of Science in Accountancy","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSA","Bachelor of Science in Accountancy","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSA","Bachelor of Science in Accountancy","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSA","Bachelor of Science in Accountancy","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSA","Bachelor of Science in Accountancy","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBA","Bachelor of Science in Business Administration","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBA","Bachelor of Science in Business Administration","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBA","Bachelor of Science in Business Administration","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBA","Bachelor of Science in Business Administration","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBA","Bachelor of Science in Business Administration","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBA","Bachelor of Science in Business Administration","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBA","Bachelor of Science in Business Administration","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBA","Bachelor of Science in Business Administration","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBIO","Bachelor of Science in Biology","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBIO","Bachelor of Science in Biology","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBIO","Bachelor of Science in Biology","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBIO","Bachelor of Science in Biology","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBIO","Bachelor of Science in Biology","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBIO","Bachelor of Science in Biology","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBIO","Bachelor of Science in Biology","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSBIO","Bachelor of Science in Biology","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCE","Bachelor of Science in Civil Engineering","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCE","Bachelor of Science in Civil Engineering","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCE","Bachelor of Science in Civil Engineering","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCE","Bachelor of Science in Civil Engineering","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCE","Bachelor of Science in Civil Engineering","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCE","Bachelor of Science in Civil Engineering","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCE","Bachelor of Science in Civil Engineering","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCE","Bachelor of Science in Civil Engineering","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCRIM","Bachelor of Science in Criminology","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCRIM","Bachelor of Science in Criminology","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCRIM","Bachelor of Science in Criminology","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCRIM","Bachelor of Science in Criminology","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCRIM","Bachelor of Science in Criminology","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCRIM","Bachelor of Science in Criminology","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCRIM","Bachelor of Science in Criminology","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCRIM","Bachelor of Science in Criminology","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCS","Bachelor of Science in Computer Science","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCS","Bachelor of Science in Computer Science","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCS","Bachelor of Science in Computer Science","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCS","Bachelor of Science in Computer Science","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCS","Bachelor of Science in Computer Science","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCS","Bachelor of Science in Computer Science","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCS","Bachelor of Science in Computer Science","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSCS","Bachelor of Science in Computer Science","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSECE","Bachelor of Science in Electronics Engineering","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSECE","Bachelor of Science in Electronics Engineering","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSECE","Bachelor of Science in Electronics Engineering","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSECE","Bachelor of Science in Electronics Engineering","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSECE","Bachelor of Science in Electronics Engineering","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSECE","Bachelor of Science in Electronics Engineering","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSECE","Bachelor of Science in Electronics Engineering","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSECE","Bachelor of Science in Electronics Engineering","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSED","Bachelor of Secondary Education","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSED","Bachelor of Secondary Education","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSED","Bachelor of Secondary Education","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSED","Bachelor of Secondary Education","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSED","Bachelor of Secondary Education","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSED","Bachelor of Secondary Education","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSED","Bachelor of Secondary Education","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSED","Bachelor of Secondary Education","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSEMISS","BS Secondary Educ major in Social Studies","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSEMISS","BS Secondary Educ major in Social Studies","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSEMISS","BS Secondary Educ major in Social Studies","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSEMISS","BS Secondary Educ major in Social Studies","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSEMISS","BS Secondary Educ major in Social Studies","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSEMISS","BS Secondary Educ major in Social Studies","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSEMISS","BS Secondary Educ major in Social Studies","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSEMISS","BS Secondary Educ major in Social Studies","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMATH","Bachelor of Science in Mathematics","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMATH","Bachelor of Science in Mathematics","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMATH","Bachelor of Science in Mathematics","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMATH","Bachelor of Science in Mathematics","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMATH","Bachelor of Science in Mathematics","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMATH","Bachelor of Science in Mathematics","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMATH","Bachelor of Science in Mathematics","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMATH","Bachelor of Science in Mathematics","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMEDTECH","Medtech","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMEDTECH","Medtech","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMEDTECH","Medtech","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMEDTECH","Medtech","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMEDTECH","Medtech","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMEDTECH","Medtech","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMEDTECH","Medtech","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMEDTECH","Medtech","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMT","Bachelor of Science in Medical Technology","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMT","Bachelor of Science in Medical Technology","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMT","Bachelor of Science in Medical Technology","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMT","Bachelor of Science in Medical Technology","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMT","Bachelor of Science in Medical Technology","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMT","Bachelor of Science in Medical Technology","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMT","Bachelor of Science in Medical Technology","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSMT","Bachelor of Science in Medical Technology","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSN","Bachelor of Science in Nursing","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSN","Bachelor of Science in Nursing","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSN","Bachelor of Science in Nursing","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSN","Bachelor of Science in Nursing","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSN","Bachelor of Science in Nursing","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSN","Bachelor of Science in Nursing","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSN","Bachelor of Science in Nursing","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSN","Bachelor of Science in Nursing","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSOT","Occupational Therapy","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSOT","Occupational Therapy","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSOT","Occupational Therapy","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSOT","Occupational Therapy","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSOT","Occupational Therapy","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSOT","Occupational Therapy","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSOT","Occupational Therapy","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSOT","Occupational Therapy","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPHARM","SP Science in Pharmacy","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPHARM","SP Science in Pharmacy","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPHARM","SP Science in Pharmacy","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPHARM","SP Science in Pharmacy","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPHARM","SP Science in Pharmacy","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPHARM","SP Science in Pharmacy","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPHARM","SP Science in Pharmacy","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPHARM","SP Science in Pharmacy","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPSYCH","SAS PSYCHOLOGY","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPSYCH","SAS PSYCHOLOGY","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPSYCH","SAS PSYCHOLOGY","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPSYCH","SAS PSYCHOLOGY","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPSYCH","SAS PSYCHOLOGY","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPSYCH","SAS PSYCHOLOGY","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPSYCH","SAS PSYCHOLOGY","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPSYCH","SAS PSYCHOLOGY","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPT","Physical Therapy","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPT","Physical Therapy","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPT","Physical Therapy","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPT","Physical Therapy","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPT","Physical Therapy","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPT","Physical Therapy","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPT","Physical Therapy","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BSPT","Physical Therapy","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"DM","Dental Medicine","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"DM","Dental Medicine","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"DM","Dental Medicine","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"DM","Dental Medicine","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"DM","Dental Medicine","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"DM","Dental Medicine","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"DM","Dental Medicine","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"DM","Dental Medicine","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"HM","Hospitality Management","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"HM","Hospitality Management","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"HM","Hospitality Management","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"HM","Hospitality Management","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"HM","Hospitality Management","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"HM","Hospitality Management","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"HM","Hospitality Management","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"HM","Hospitality Management","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"NNAD","NA Nutrition and Diabetics","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"NNAD","NA Nutrition and Diabetics","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"NNAD","NA Nutrition and Diabetics","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"NNAD","NA Nutrition and Diabetics","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"NNAD","NA Nutrition and Diabetics","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"NNAD","NA Nutrition and Diabetics","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"NNAD","NA Nutrition and Diabetics","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"NNAD","NA Nutrition and Diabetics","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"R","Radtech","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"R","Radtech","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"R","Radtech","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"R","Radtech","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"R","Radtech","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"R","Radtech","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"R","Radtech","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"R","Radtech","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"RT","Respi Therapy","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"RT","Respi Therapy","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"RT","Respi Therapy","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"RT","Respi Therapy","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"RT","Respi Therapy","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"RT","Respi Therapy","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"RT","Respi Therapy","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"RT","Respi Therapy","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"SAIC","SAS Arts In Com","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"SAIC","SAS Arts In Com","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"SAIC","SAS Arts In Com","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"SAIC","SAS Arts In Com","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"SAIC","SAS Arts In Com","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"SAIC","SAS Arts In Com","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"SAIC","SAS Arts In Com","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"SAIC","SAS Arts In Com","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
